time,ecg,peak
1757168814141.227,-117,0
1757168814148.9194,-105,0
1757168814156.6118,-96,0
1757168814164.3042,-91,0
1757168814171.9966,-91,0
1757168814179.689,-103,0
1757168814187.3813,-126,0
1757168814195.0737,-137,0
1757168814202.766,-133,0
1757168814210.4585,-128,0
1757168814218.151,-133,0
1757168814225.8433,-137,0
1757168814233.5356,-165,0
1757168814241.228,-220,0
1757168814248.9204,-142,0
1757168814256.6128,285,0
1757168814264.3052,958,0
1757168814271.9976,1446,0
1757168814279.69,1220,0
1757168814287.3823,174,0
1757168814295.0747,-593,0
1757168814302.767,-365,0
1757168814310.4595,-119,0
1757168814318.1519,-287,0
1757168814325.8442,-305,0
1757168814333.5366,-200,0
1757168814341.229,-220,0
1757168814348.9214,-236,0
1757168814356.6138,-193,0
1757168814364.3062,-179,0
1757168814371.9985,-183,0
1757168814379.691,-163,0
1757168814387.3833,-142,0
1757168814395.0757,-133,0
1757168814402.768,-117,0
1757168814410.4604,-98,0
1757168814418.1528,-80,0
1757168814425.8452,-57,0
1757168814433.5376,-29,0
1757168814441.23,-9,0
1757168814448.9224,9,0
1757168814456.6147,32,0
1757168814464.3071,52,0
1757168814471.9995,66,0
1757168814479.692,71,0
1757168814487.3843,62,0
1757168814495.0767,41,0
1757168814502.769,13,0
1757168814492.5073,-13,0
1757168814500.1997,-50,0
1757168814507.892,-94,0
1757168814515.5845,-142,0
1757168814523.2769,-193,0
1757168814530.9692,-239,0
1757168814538.6616,-248,0
1757168814546.354,-229,0
1757168814554.0464,-225,0
1757168814561.7388,-229,0
1757168814569.4312,-229,0
1757168814577.1235,-236,0
1757168814584.816,-229,0
1757168814592.5083,-204,0
1757168814600.2007,-193,0
1757168814607.893,-190,0
1757168814615.5854,-183,0
1757168814623.2778,-177,0
1757168814630.9702,-167,0
1757168814638.6626,-154,0
1757168814646.355,-147,0
1757168814654.0474,-144,0
1757168814661.7397,-144,0
1757168814669.4321,-137,0
1757168814677.1245,-131,0
1757168814684.817,-124,0
1757168814692.5093,-121,0
1757168814700.2017,-121,0
1757168814707.894,-124,0
1757168814715.5864,-124,0
1757168814723.2788,-117,0
1757168814730.9712,-114,0
1757168814738.6636,-117,0
1757168814746.356,-119,0
1757168814754.0483,-124,0
1757168814761.7407,-121,0
1757168814769.433,-112,0
1757168814777.1255,-110,0
1757168814784.8179,-108,0
1757168814792.5103,-108,0
1757168814800.2026,-110,0
1757168814807.895,-108,0
1757168814815.5874,-101,0
1757168814823.2798,-98,0
1757168814830.9722,-96,0
1757168814838.6646,-96,0
1757168814846.357,-98,0
1757168814854.0493,-94,0
1757168814861.7417,-87,0
1757168814869.434,-85,0
1757168814877.1265,-85,0
1757168814884.8188,-82,0
1757168814892.5112,-85,0
1757168814900.2036,-82,0
1757168814907.896,-75,0
1757168814915.5884,-73,0
1757168814923.2808,-71,0
1757168814930.9731,-71,0
1757168814938.6655,-73,0
1757168814946.358,-71,0
1757168814954.0503,-64,0
1757168814961.7427,-64,0
1757168814969.435,-62,0
1757168814977.1274,-62,0
1757168814984.8198,-64,0
1757168814992.5122,-59,0
1757168815000.2046,-55,0
1757168815007.897,-50,0
1757168815015.5894,-34,0
1757168815023.2817,-27,0
1757168815030.974,-32,0
1757168815038.6665,-25,0
1757168815046.359,-13,0
1757168815072.8982,-25,0
1757168815080.5906,-45,0
1757168815088.283,-57,0
1757168815095.9753,-57,0
1757168815103.6677,-50,0
1757168815111.36,-45,0
1757168815119.0525,-57,0
1757168815126.7449,-110,0
1757168815134.4373,-174,0
1757168815142.1296,-16,0
1757168815149.822,533,0
1757168815157.5144,1211,0
1757168815165.2068,1561,0
1757168815172.8992,1103,0
1757168815180.5916,20,0
1757168815188.284,-473,0
1757168815195.9763,-151,0
1757168815203.6687,-57,0
1757168815211.361,-241,0
1757168815219.0535,-200,0
1757168815226.7458,-126,0
1757168815234.4382,-167,0
1757168815242.1306,-154,0
1757168815249.823,-108,0
1757168815257.5154,-108,0
1757168815265.2078,-105,0
1757168815272.9001,-85,0
