time,ppg
1764027223094,66.679126
1764027223126,66.642263
1764027223160,66.584939
1764027223197,66.470895
1764027223226,66.370341
1764027223260,66.314618
1764027223295,66.297782
1764027223328,66.289071
1764027223359,66.077592
1764027223397,65.522425
1764027223426,65.209096
1764027223459,65.06961
1764027223494,65.306298
1764027223526,65.644223
1764027223561,65.914225
1764027223598,66.205223
1764027223634,66.45458
1764027223671,66.609405
1764027223699,66.670909
1764027223732,66.643513
1764027223770,66.648012
1764027223807,66.734048
1764027223833,66.897604
1764027223866,67.025768
1764027223904,67.050879
1764027223931,67.045619
1764027223965,67.029981
1764027224001,66.989655
1764027224032,66.944746
1764027224072,66.897864
1764027224104,66.816373
1764027224130,66.702212
1764027224164,66.577758
1764027224194,66.400393
1764027224236,65.237742
1764027224272,64.770331
1764027224304,64.50238
1764027224338,64.735897
1764027224372,65.37359
1764027224406,65.850644
1764027224432,66.214884
1764027224472,66.471566
1764027224502,66.634008
1764027224534,66.670955
1764027224572,66.651749
1764027224604,66.579704
1764027224635,66.508376
1764027224673,66.542862
1764027224703,66.613311
1764027224738,66.704341
1764027224770,66.772368
1764027224808,66.803397
1764027224842,66.814191
1764027224873,66.81815
1764027224907,66.86815
1764027224940,66.892597
1764027224975,66.933424
1764027225006,67.010944
1764027225045,67.100346
1764027225071,66.67796
1764027225104,66.172781
1764027225137,65.943405
1764027225172,65.976146
1764027225207,66.15461
1764027225238,66.372991
1764027225266,66.56738
1764027225298,66.725864
1764027225332,66.81688
1764027225364,66.857616
1764027225400,66.907675
1764027225428,66.95511
1764027225471,66.986061
1764027225504,67.011758
1764027225539,67.027865
1764027225574,67.06625
1764027225600,67.092156
1764027225640,67.095984
1764027225674,67.09338
1764027225700,67.075958
1764027225736,67.057025
1764027225769,67.059688
1764027225801,67.067644
1764027225834,67.088438
1764027225864,67.102781
1764027225898,66.535674
1764027225930,66.09127
1764027225974,65.811965
1764027226010,65.71841
1764027226040,65.784855
1764027226073,65.871366
1764027226106,65.956621
1764027226136,66.02724
1764027226171,66.0114
1764027226196,65.910143
1764027226234,65.739048
1764027226270,65.586332
1764027226314,65.48904
1764027226340,65.422939
1764027226375,65.422939
1764027226410,65.473356
1764027226441,65.534059
1764027226474,65.593064
1764027226507,65.618005
1764027226539,65.625278
1764027226574,65.655766
1764027226606,65.671365
1764027226643,65.70548
1764027226674,65.74813
1764027226704,65.788846
1764027226734,65.651931
1764027226765,65.348629
1764027226792,65.185014
1764027226828,65.217176
1764027226875,65.524326
1764027226909,65.903378
1764027226946,66.261317
1764027226969,66.476748
1764027227006,66.612081
1764027227041,66.728618
1764027227067,66.786906
1764027227111,66.794784
1764027227137,66.770331
1764027227176,66.781073
1764027227201,66.7816
1764027227242,66.748983
1764027227277,66.737368
1764027227310,66.722485
1764027227346,66.700506
1764027227379,66.734022
1764027227418,66.757557
1764027227458,66.77869
1764027227477,66.804445
1764027227510,66.81382
1764027227546,66.599848
1764027227576,66.036244
1764027227611,65.795155
1764027227641,65.759341
1764027227673,65.874101
1764027227707,65.992799
1764027227742,66.1006
1764027227781,66.240757
1764027227805,66.360497
1764027227837,66.464847
1764027227870,66.545459
1764027227909,66.585043
1764027227945,66.611143
1764027227972,66.636873
1764027228007,66.654959
1764027228042,66.69324
1764027228070,66.736502
1764027228102,66.784081
1764027228132,66.817544
1764027228165,66.828423
1764027228200,66.849517
1764027228231,66.921263
1764027228264,67.029662
1764027228299,67.156108
1764027228331,66.959004
1764027228364,66.658598
1764027228402,66.64102
1764027228446,66.676131
1764027228471,66.828619
1764027228507,67.086928
1764027228542,67.308531
1764027228578,67.490485
1764027228613,67.610857
1764027228641,67.632784
1764027228671,67.588454
1764027228705,67.483447
1764027228730,67.354481
1764027228765,67.224168
1764027228811,67.079655
1764027228840,66.94834
1764027228877,66.818293
1764027228906,66.67031
1764027228939,66.524085
1764027228973,66.385152
1764027229008,66.256799
1764027229041,66.137267
1764027229071,66.037494
1764027229104,65.974193
1764027229138,65.799354
1764027229174,65.063724
1764027229199,64.733143
1764027229234,64.582393
1764027229267,64.977904
1764027229306,65.474183
1764027229341,65.851041
1764027229375,66.117475
1764027229403,66.265607
1764027229439,66.320074
1764027229473,66.289592
1764027229496,66.220177
1764027229529,66.170522
1764027229566,66.143276
1764027229605,66.137442
1764027229629,66.122729
1764027229662,66.100326
1764027229702,66.085079
1764027229726,66.071687
1764027229762,66.032735
1764027229797,65.989499
1764027229830,65.952285
1764027229865,65.92746
1764027229903,65.909374
1764027229936,65.830279
1764027229966,65.143868
1764027229998,64.7591
1764027230030,64.554248
1764027230068,64.546078
1764027230098,64.661163
1764027230138,64.848469
1764027230173,65.011257
1764027230212,65.160795
1764027230236,65.247378
1764027230279,65.267404
1764027230310,65.248088
1764027230342,65.23286
1764027230366,65.248589
1764027230400,65.257398
1764027230435,65.269846
1764027230467,65.305438
1764027230507,65.336539
1764027230544,65.344866
1764027230578,65.361565
