time,ppg
1753556286541,94.559294
1753556286572,94.632061
1753556286605,94.061862
1753556286639,94.671306
1753556286674,94.752511
1753556286709,94.186017
1753556286738,94.16006
1753556286771,94.19254
1753556286807,94.871321
1753556286838,94.257788
1753556286873,94.315588
1753556286907,94.2348
1753556286937,93.793052
1753556286972,93.455381
1753556287008,93.394853
1753556287040,93.507666
1753556287075,94.277235
1753556287105,94.400393
1753556287138,94.442724
1753556287173,94.417763
1753556287208,94.345224
1753556287237,94.285184
1753556287270,94.303531
1753556287305,94.451038
1753556287337,94.481488
1753556287371,94.501449
1753556287406,94.589125
1753556287435,94.61572
1753556287468,94.61585
1753556287502,94.674777
1753556287540,94.738188
1753556287573,94.757251
1753556287603,94.770578
1753556287638,94.475342
1753556287674,94.05599
1753556287706,93.862753
1753556287740,93.83108
1753556287773,93.982513
1753556287804,94.088562
1753556287837,94.158751
1753556287871,94.187775
1753556287902,94.163523
1753556287940,94.107208
1753556287972,94.104024
1753556288013,94.226186
1753556288039,94.299781
1753556288069,94.345627
1753556288103,94.459137
1753556288140,94.519554
1753556288170,94.535583
1753556288204,94.536325
1753556288239,94.615447
1753556288268,94.674047
1753556288304,94.686313
1753556288338,94.725994
1753556288372,94.477126
1753556288405,93.962773
1753556288435,93.704575
1753556288473,93.70949
1753556288503,93.829263
1753556288537,93.924055
1753556288571,93.99291
1753556288605,94.042227
1753556288637,94.029362
1753556288671,93.97556
1753556288705,94.027956
1753556288738,94.080241
1753556288771,94.145815
1753556288802,94.232703
1753556288838,94.29564
1753556288872,94.329696
1753556288902,94.381943
1753556288935,94.450433
1753556288971,94.447477
1753556289002,94.467698
1753556289037,94.527803
1753556289071,94.615141
1753556289102,94.670818
1753556289138,94.569594
1753556289172,94.141466
1753556289203,93.741756
1753556289238,93.046687
1753556289270,93.749979
1753556289299,93.874791
1753556289332,94.519326
1753556289366,94.611664
1753556289404,94.626645
1753556289437,94.610512
1753556289470,93.966686
1753556289502,94.621195
1753556289537,94.679295
1753556289574,94.09614
1753556289601,94.180164
1753556289635,94.237742
1753556289669,94.831438
1753556289704,94.285887
1753556289737,94.345126
1753556289769,94.333987
1753556289804,94.360302
1753556289838,94.397372
1753556289871,94.440335
1753556289903,94.517067
1753556289937,94.547022
1753556289967,94.314514
1753556290003,93.845989
1753556290038,93.638155
1753556290071,93.669347
1753556290104,93.775838
1753556290137,93.922141
1753556290168,94.020449
1753556290201,94.031133
1753556290237,94.007773
1753556290269,94.009343
1753556290303,93.988672
1753556290337,94.067618
1753556290368,94.179611
1753556290402,94.269364
1753556290436,94.324644
1753556290468,94.386598
1753556290502,94.429449
1753556290535,94.509925
1753556290566,94.511722
1753556290602,94.553096
1753556290636,94.614405
1753556290668,94.706841
1753556290703,94.773775
1753556290736,94.175691
1753556290767,93.877558
1753556290804,93.455185
1753556290837,93.307984
1753556290866,93.468838
1753556290898,93.621078
1753556290934,93.734796
1753556290966,93.862063
1753556290999,93.89899
1753556291034,93.824966
1753556291067,93.834485
1753556291100,93.850487
1753556291134,93.925429
1753556291171,94.012839
1753556291204,94.075215
1753556291236,94.171876
1753556291271,94.21616
1753556291304,94.270191
1753556291335,94.344481
1753556291369,94.37831
1753556291403,93.817082
1753556291430,93.856868
1753556291465,93.904609
1753556291500,93.933229
1753556291532,94.025417
1753556291569,94.071849
1753556291601,93.733586
1753556291631,93.231525
1753556291668,93.036966
1753556291704,93.103275
1753556291743,93.223732
1753556291771,93.28424
1753556291801,93.400836
1753556291838,93.4326
1753556291876,93.436031
1753556291902,93.440953
1753556291933,93.473467
1753556291966,93.51154
1753556292002,93.592842
1753556292033,93.664112
1753556292068,93.71671
1753556292102,93.745773
1753556292132,93.818814
1753556292170,93.865832
1753556292202,93.832421
1753556292232,93.863756
1753556292271,93.912721
1753556292300,93.977917
1753556292333,94.013906
1753556292366,94.065352
1753556292398,94.123562
1753556292433,93.952044
1753556292468,93.421988
1753556292499,93.138536
1753556292532,93.140711
1753556292568,93.83871
1753556292598,94.530628
1753556292635,94.677374
1753556292669,94.761626
1753556292700,94.707798
1753556292732,94.712335
1753556292770,94.140483
1753556292801,94.172039
1753556292831,93.650519
1753556292867,94.320822
1753556292901,93.79621
1753556292930,93.821242
1753556292968,93.876028
1753556293003,93.904186
1753556293031,93.930052
1753556293070,93.958092
1753556293100,93.91832
1753556293133,93.937487
1753556293167,94.043535
1753556293198,94.104617
1753556293232,93.566755
1753556293267,93.215705
1753556293302,93.126576
1753556293334,94.350093
1753556293366,94.538376
1753556293400,95.317164
1753556293430,94.803625
1753556293466,94.794406
1753556293494,94.138171
1753556293533,94.079812
1753556293568,94.101641
1753556293596,94.147351
1753556293640,94.221277
1753556293669,94.311024
